Union Council,Name of Union Council,Chairman,Vice-Chairman
,,,
Union Council 1,Saidpur,Sheraz Kiyani,Muhammad Ashraf
Union Council 2,Noopur Shahan,Pir Adil Shah,Muhammad Shehzad Abbasi
Union Council 3,Mal pur,Ch. Mushtaq Ahmed,Naeem Anwer
Union Council 4,Kot Hathial (North),Ishtiaq Ahmed Malik,Syed Ejaz Abbas Gillani
Union Council 5,Kot Hathial (South),Muhammad Wahid,Fazakat Ali
Union Council 6,Phulgran,Waqar Ahmed,Muhammad Afzal
Union Council 7,Pindi Bagowal,Raja Qaiser Ghaffar,Abdul Majeed
Union Council 8,Tumair,Raja Khuram Shahzad Nawaz,Raja Yasir Murtaza
Union Council 9,Charah,Raja Zulqurnain Haider,Muhammad Kamran Kiyani
Union Council 10,Kirpa,Zahid Hussain,Asad Ali
Union Council 11,Mughal,Malik Aamir,Abdul Saboor
Union Council 12,Rawat,Rana Haq,Sajjad Ali
Union Council 13,Humak,Ali Saboor,Atif Khokhar
Union Council 14,Sihala,Iltaf Sheikh,Abdullah Ali
Union Council 15,Loi Bher,Ali Baloch,Wali Khan
Union Council 16,Pagh & Panwal,Nayyar Illahi,Khokhar Nawaz
Union Council 17,17 Koral,Laiq Muhammad,Obaid Ullah
Union Council 18,Khana Dak,Inam Daud,Hadi Khan
Union Council 19,Tarlai Kalan�,Muhammad ali,Pasha Khan
Union Council 20,Ali Pur,mubashir khan,hassan khan
Union Council 21,Sohan Dehati,Malik Aamir,Abdul Saboor
Union Council 22,Chak Shahzad,raja anas,hamza ali
Union Council 23,Kuri,waqas javed,oman umair
Union Council 24,Rawal Town,danish ali,waqar baig
Union Council 25,F-6,murtaza najeeb,asif abbasi 
Union Council 26,G-6/1,raja zain,malik roshan
Union Council 27,"G-6/2,3 & 4",bakhtiar chaudary,rana sanaullah
Union Council 28,"F-7,8,9 & Jinnah Park",akhtar chaudary,shakeel anjum
Union Council 29,F-10 & F- 11,Khurram Bakhtyar Lala,
Union Council 30,G-7/3 & G-7/4,Chaudhary Naeem Gujjar,Aamir Sheikh
Union Council 31,G-7/1 & 2,umar inayat,nasir malik
Union Council 32,G-8/3 & 4�,khalid hayat,badshah khan
Union Council 33,G-8/1 & 2,muhammad haris,syed abbas
Union Council 34,"G-9/1 ,3 & 4",shahbaz khurram,ali murtaza
Union Council 35,G-9/2�,zafar khan,nawaz shahzad
Union Council 36,G-10/3 & 4�,ahmed ishtiaq,yasir kiyani
Union Council 37,G-10/1 & 2,Malik Sajid,Iftikhar Ahmad
Union Council 38,"G-11/1,2,3 & 4�",malik iftikhar,haider ishaq
Union Council 39,Maira Sumbal Jaffar,zahid raja,aamir haq
Union Council 40,I-8,Ali Nawaz Awan,Shakeel Abbasi
Union Council 41,Union Council No 41 I-9,Sardar Mehtab Ali,asad ullah
Union Council 42,I-10/1 & I-10/ 4,yasir kiyani,majeed ejaz
Union Council 43,"I- 10/2, 3 I-10/4 & H-10",kamran afzal,nizam Hussain
Union Council 44,Bokra�,haleem bar,khuda bakhsh
Union Council 45,Jhangi Saydan,inzimam ul haq,Sardar Mehtab Ali
Union Council 46,Badhana Kalan,hammad dogar,harris ahmed
Union Council 47,Tarnol,kokab khuwaja,mutlib khan
Union Council 48,Sarai Kharbooza,inaam ullah,musharraf pervez
Union Council 49,Union Council No 49 ,ch. Nisar,nawaz ullah
Union Council 50,Golra Sharif�,ehtisham ul haq,wasih shah
