Union Council,Name of Union Council,Chairman,Vice-Chairman
,,,
Union Council 1,Begum Kot,Ch. Abbas Jutt,
Union Council 2,Yousif Park,M.Kashif,
Union Council 3,Kot Kamboh,Sajid Chohan,
Union Council 5,Chah Jhabbay Wala,Ch. Khalid Mehmood,
Union Council 6,Aziz Colony,Ghulam Murtza Dogar,
Union Council 7,Lajpat Nagar,Ch. Shahnawaz,
Union Council 8,Faisal Park,Abid Khan,
Union Council 9,Javid Park,Shahid Naseer Butt,
Union Council 10,Qaisar Town,Shahid Mehmood,
Union Council 11,Majeed Park,Ikram Butt,
Union Council No 12,Qazi Park,,
Union Council No 13,Ravi Clifton Colony,,
Union Council No 14,Ladhay Shah,,
Union Council No 15,Qila Lajhman Singh,,
Union Council No 16,Auqaf Colony,,
Union Council No 17,Farooq Ganjj,,
Union Council No 18,Hanif Park,,
Union Council No 19,Siddique Pura,,
Union Council No 20,Lariks Park,,
Union Council No 21,Badar Colony,,
Union Council No 22,Data Nagar,,
Union Council No 23,Siddiqa Colony,,
Union Council No 24,hagat Pura,,
Union Council No 25,Jhuggian,,
Union Council No 26,Akram Park,,
Union Council No 27,Fazal Park,,
Union Council No 28,Jahangir Park,,
Union Council No 29,Usman Ganjj,,
Union Council No 30,Manzorabad,,
Union Council No 31,Faiz Bagh,,
Union Council No 32,Mochi Gate,,
Union Council No 33,Azam Market,,
Union Council No 34,Shah Alam Market,,
Union Council No 35,Rang Mahal,,
Union Council No 36,Lohari Gate,,
Union Council No 37,Bhati Gate,,
Union Council No 38,Shahi Qila,,
Union Council No 39,Sutar Mandi,,
Union Council No 40,Hussain Park,,
Union Council No 41,Makhan Pura,,
Union Council No 42,Dhobi Ghat,,
Union Council No 43,Sultan Pura,,
Union Council No 44,Misri Shah,,
Union Council No 45,Chah Miran,,
Union Council No 46,Kajho Pura,,
Union Council No 47,Wasan Pura,,
Union Council No 48,Razipura,,
Union Council No 49,Kasur Pura,,
Union Council No 50,Shafiqabad,,
Union Council No 51,Amin Park,,
Union Council No 52,Nasir Park,,
Union Council No 53,Karim Park,,
Union Council No 54,Darbar Pir Makki,,
Union Council No 55,Mian Shamsuddin Park,,
Union Council No 56,Mian Munshi Park,,
Union Council No 57,Tauheed Park,,
Union Council No 58,Sunnat Nagar,,
Union Council No 59,Chohan Park,,
Union Council No 60,Outfall Road / Chohan Road,,
Union Council No 61,Purana Anarkali,,
Union Council No 62,Beadon Road,,
Union Council No 63,New Anarkali,,
Union Council No 64,Riwaz Garden,,
Union Council No 65,Islam Pura,,
Union Council No 66,Sanda,,
Union Council No 67,Sadaqat Park,,
Union Council No 68,Mozang,,
Union Council No 69,Sir Ganga Ram Hospital,,
Union Council No 70,Sarai Sultan,,
Union Council No 71,Shibli Town,,
Union Council No 72,Usman Ganjj,,
Union Council No 73,Raj Garh,,
Union Council No 74,Sanda Khurd,,
Union Council No 75,Gulshan Ravi,,
