,PESHAWER,,
,,,
Union Council,Name of Union Council,Chairman,Vice-Chairman
,,,
Union Council 1,Khalsa-I,Allah Ditta ,Bachha Khan
Union Council 2,Khalsa-II ,Muhammad ,Ali Bahadur
Union Council 3,Mahal Terai-I,Abbas Khan,
Union Council 5,Mahal Terai-II,Kashif Hassan,
Union Council 6,Shahi bagh,Ikram Ullah,
Union Council 7,Faqir Abad,Khalid Hussain,
Union Council 8,Sikandar Town,Ghulam Murtza,
Union Council 9,Gul Bahar,Shahbaz khan,
Union Council 10,Shaheen Muslim Town-I,Abid Khan,
Union Council 11,Shaheen Muslim Town-II,Shahid Butt,
,,,
